id_solicitante,id_solicitacao_emprestimo,id_historico_banco,id_solicitante,idade,salario,situacao_imovel,tempo_trabalho,id_solicitacao_emprestimo,motivo,pontuacao,valor_total_solicitado,taxa_juros,possibilidade_inadimplencia,renda_percentual,id_historico_banco,inadiplencia_anteior,tempo_primeira_solicitacao
G49EeF9u-WyZ9,7LNQP12X-9PKR,9B8Mx7NQ-TeIz,G49EeF9u-WyZ9,54,50000,Aluguel,14,7LNQP12X-9PKR,Pagamento_debitos,A,20000,7.9,1,0.4,9B8Mx7NQ-TeIz,N,20
RBpWezyP-M84E,8buJ57Ff-dLdL,DiLOMMlk-ZTBR,RBpWezyP-M84E,30,20000,Aluguel,4,8buJ57Ff-dLdL,"Pessoal ",C,6800,12.84,1,0.34,DiLOMMlk-ZTBR,N,6
HMcitIlC-nlMs,HQgYuDGP-5SSk,QaNk7vtW-rWsh,HMcitIlC-nlMs,22,54500,Hipoteca,6,HQgYuDGP-5SSk,"Educativo ",B,21000,NULL,1,NULL,QaNk7vtW-rWsh,S,9
B66UpA4s-jWpY,kYIRAsWr-XB6H,PjUjuBgu-bLrF,B66UpA4s-jWpY,24,74600,Hipoteca,3,kYIRAsWr-XB6H,Pagamento_debitos,E,20000,17.51,1,0.27,PjUjuBgu-bLrF,N,3
hkYb9lyA-S9Dd,10WfN8Wo-QYp1,3kClciZK-WJmG,hkYb9lyA-S9Dd,22,30000,Aluguel,1,10WfN8Wo-QYp1,Pagamento_debitos,E,6400,16,1,0.21,3kClciZK-WJmG,N,3
yIfwX5cc-tRMu,QrgTPJmG-KDrG,OLGcliQ7-B90C,yIfwX5cc-tRMu,25,74800,Aluguel,2,QrgTPJmG-KDrG,"Medico ",B,5000,12.69,NULL,NULL,OLGcliQ7-B90C,N,3
l7iybTIB-uOAM,5RrHrAtv-8F6p,POC6Blgt-dhRP,l7iybTIB-uOAM,42,38400,Aluguel,4,5RrHrAtv-8F6p,"Medico ",B,13000,NULL,1,0.34,POC6Blgt-dhRP,N,17
gEL6Dv0l-D5K1,zqpMWuTi-pHbq,mL9RqhKf-MGew,gEL6Dv0l-D5K1,22,58000,Aluguel,3,zqpMWuTi-pHbq,"Medico ",B,12000,NULL,1,0.21,mL9RqhKf-MGew,N,3
wMp1ZyKP-gOyI,Jd2B5kU3-exrp,hgn0rKnu-w36h,wMp1ZyKP-gOyI,31,15000,Aluguel,2,Jd2B5kU3-exrp,"Empreendimento ",B,4000,11.49,1,0.27,hgn0rKnu-w36h,N,6
kEC8nGra-Mzua,oQmzYBBt-zLjw,OcLo7QYr-lfiN,kEC8nGra-Mzua,23,18000,Aluguel,1,oQmzYBBt-zLjw,"Pessoal ",A,7000,7.88,1,0.39,OcLo7QYr-lfiN,N,4
tcAWcziL-wNSu,EDyo6sXN-c7D9,QiNRqkyv-nSem,tcAWcziL-wNSu,22,20796,Aluguel,1,EDyo6sXN-c7D9,Pagamento_debitos,D,10775,15.37,1,0.52,QiNRqkyv-nSem,S,2
HL6F8pRx-YBTT,gSBt0dQS-rAMT,KHuF2jS5-8rEQ,HL6F8pRx-YBTT,27,39000,Hipoteca,11,gSBt0dQS-rAMT,Melhora_lar,E,5000,18.79,1,0.13,KHuF2jS5-8rEQ,S,10
wcZaL1CD-QC0A,bortZX8p-qQ1X,uljlwh2E-iL9m,wcZaL1CD-QC0A,27,14400,Aluguel,3,bortZX8p-qQ1X,"Educativo ",F,2500,18.3,1,0.17,uljlwh2E-iL9m,N,7
e93zIfty-MEl2,9LunPmQM-Uhph,Ilf17Wjy-Ef1Z,e93zIfty-MEl2,26,51000,Aluguel,10,9LunPmQM-Uhph,"Pessoal ",B,5000,12.42,1,0.1,Ilf17Wjy-Ef1Z,N,2
GF79eYM4-xcMP,UJDU4wt1-yGWW,DOMft98J-Z3qm,GF79eYM4-xcMP,22,32000,Aluguel,1,UJDU4wt1-yGWW,"Educativo ",D,5400,16.29,1,0.17,DOMft98J-Z3qm,S,2
dejgBgka-cvSN,Y7yIUHWQ-138k,WNto6491-J99J,dejgBgka-cvSN,25,12996,Propria,1,Y7yIUHWQ-138k,"Medico ",D,3600,14.59,1,0.28,WNto6491-J99J,N,3
2T5bdmKT-g3A8,NxQe2AJZ-PXcI,XBINNigH-WW1t,2T5bdmKT-g3A8,30,48996,Aluguel,1,NxQe2AJZ-PXcI,Melhora_lar,E,10000,15.45,1,0.2,XBINNigH-WW1t,N,8
mLg7mk92-eiF0,RiZz30mh-9JDI,m8sZ296C-4Adx,mLg7mk92-eiF0,24,72000,Hipoteca,8,RiZz30mh-9JDI,"Educativo ",C,14000,14.65,1,0.19,m8sZ296C-4Adx,S,4
EtWcObc2-aKNM,ogbrgb5F-avnr,YLvM6cHD-ERnb,EtWcObc2-aKNM,29,48000,Aluguel,2,ogbrgb5F-avnr,"Pessoal ",B,15000,11.36,1,0.31,YLvM6cHD-ERnb,N,8
WXg2X7ay-4bg1,WXzIIE8A-nTiU,1luoSXcH-95hi,WXg2X7ay-4bg1,34,120000,Aluguel,NULL,WXzIIE8A-nTiU,Pagamento_debitos,A,2000,NULL,NULL,0.04,1luoSXcH-95hi,N,3
UL7urKNr-WyXK,QkNWByAF-esJp,mgKDvUKR-HKEu,UL7urKNr-WyXK,NULL,19992,Aluguel,12,QkNWByAF-esJp,"Educativo ",A,7750,10.38,1,0.14,mgKDvUKR-HKEu,N,4
2RvCEIwH-SIU9,cRtQ1u0q-ANrb,Y2NnXs35-LYWc,2RvCEIwH-SIU9,42,64464,Hipoteca,13,cRtQ1u0q-ANrb,"Medico ",E,30000,19.03,1,0.4,Y2NnXs35-LYWc,N,14
QXI8vJSm-lQdJ,oLByZNpg-RCFB,HmULBLlN-JuYf,QXI8vJSm-lQdJ,31,46000,Aluguel,6,oLByZNpg-RCFB,"Medico ",D,9600,14.46,1,0.21,HmULBLlN-JuYf,S,5
11AQ6WU8-zX72,IGF3vhnz-KGpp,8TcnN4qC-wZCF,11AQ6WU8-zX72,24,73000,Aluguel,6,IGF3vhnz-KGpp,Pagamento_debitos,D,12500,6,1,0.17,8TcnN4qC-wZCF,N,2
IdH2E9Hp-IqBZ,iz1mOcTL-GWx0,7Ox5qblX-13O1,IdH2E9Hp-IqBZ,28,54000,Aluguel,2,iz1mOcTL-GWx0,Melhora_lar,D,12000,15.31,1,0.22,7Ox5qblX-13O1,N,6
CNGYSTsr-R1z8,BINB4wmU-JKdr,o3ESgEgy-2BNR,CNGYSTsr-R1z8,22,15360,Propria,7,BINB4wmU-JKdr,Melhora_lar,B,2500,12.53,1,0.16,o3ESgEgy-2BNR,N,3
QXApAv5c-EJjO,vBCuoXp2-m1bX,NyWboA7q-mQ5b,QXApAv5c-EJjO,27,78300,Hipoteca,11,vBCuoXp2-m1bX,Melhora_lar,B,9000,NULL,1,0.11,NyWboA7q-mQ5b,N,5
4vhHsPtm-Ps4p,u4uChgOd-Yk5T,PkNtgD1s-zLEs,4vhHsPtm-Ps4p,21,36000,Aluguel,5,u4uChgOd-Yk5T,Melhora_lar,C,4000,12.99,1,0.11,PkNtgD1s-zLEs,N,4
mtKsQFYC-LKKm,IDluiXvd-GiaF,GC5pNzCD-5LGU,mtKsQFYC-LKKm,26,35000,Aluguel,10,IDluiXvd-GiaF,"Educativo ",B,12875,NULL,1,0.37,GC5pNzCD-5LGU,N,3
rSWNRDQz-Qkgp,ysrr2IYN-eRKo,WcTaAPbZ-1CxW,rSWNRDQz-Qkgp,31,59000,Aluguel,14,ysrr2IYN-eRKo,Pagamento_debitos,A,20000,7.51,1,0.34,WcTaAPbZ-1CxW,N,10
FXnK22Cc-orMB,zYMOmfN1-F0dA,pf8GSEBd-hOW7,FXnK22Cc-orMB,35,54996,Aluguel,12,zYMOmfN1-F0dA,Melhora_lar,A,20000,6.62,1,0.36,pf8GSEBd-hOW7,N,9
G2yWS2lz-M9sA,DFxPZSD2-Zwho,4NMRRIOW-n1rl,G2yWS2lz-M9sA,22,21000,Aluguel,4,DFxPZSD2-Zwho,"Educativo ",C,10000,13.72,1,0.48,4NMRRIOW-n1rl,S,2
1yiiuvWp-QWex,vbrg5URv-zgBR,gWlpPDug-TqxY,1yiiuvWp-QWex,55,54000,Aluguel,4,vbrg5URv-zgBR,Pagamento_debitos,C,1000,13.99,1,0.02,gWlpPDug-TqxY,N,27
JlUHLUZA-rfPy,woPqremP-ROOh,kXb3MoC4-CC80,JlUHLUZA-rfPy,24,64000,Hipoteca,8,woPqremP-ROOh,"Educativo ",A,5000,7.88,1,0.08,kXb3MoC4-CC80,N,4
5Iyo0Ojr-Xixe,3kKDHz03-tHX8,sH1dwjlo-uK2k,5Iyo0Ojr-Xixe,38,18000,Aluguel,4,3kKDHz03-tHX8,"Pessoal ",C,3000,13.23,1,0.17,sH1dwjlo-uK2k,N,17
LcyCTCWU-5pJX,8H01XPY1-Yoqw,RCktzCz7-PpKe,LcyCTCWU-5pJX,25,39000,Aluguel,9,8H01XPY1-Yoqw,"Empreendimento ",D,15200,16,1,0.39,RCktzCz7-PpKe,N,3
HSkhhmSp-4btk,9n6bcWxz-6Yzt,N9kDNhLb-pCSI,HSkhhmSp-4btk,22,100580,Aluguel,6,9n6bcWxz-6Yzt,Pagamento_debitos,D,25000,14.96,1,0.25,N9kDNhLb-pCSI,S,2
Zh1Ov9Hn-1ZH0,cQ4BSi1f-8X5H,O8M4k2hD-jxfz,Zh1Ov9Hn-1ZH0,35,26000,Aluguel,3,cQ4BSi1f-8X5H,"Pessoal ",A,8000,7.9,1,0.31,O8M4k2hD-jxfz,N,6
it0Rn4bd-u6Ov,YOE439hO-acgc,GrSI6zwL-fPy0,it0Rn4bd-u6Ov,25,18840,Hipoteca,5,YOE439hO-acgc,"Educativo ",B,3000,9.91,1,0.16,GrSI6zwL-fPy0,N,2
YN5kxCt0-0vEk,GJQZHfN3-13GB,CBHnyc9m-OT4m,YN5kxCt0-0vEk,40,28800,Aluguel,3,GJQZHfN3-13GB,"Pessoal ",C,4200,14.72,1,0.15,CBHnyc9m-OT4m,S,16
ZJfjtaCn-lEga,FkJd73eX-ndDo,xv90w5QJ-d199,ZJfjtaCn-lEga,NULL,83400,Hipoteca,2,FkJd73eX-ndDo,Pagamento_debitos,C,2200,7.49,1,NULL,xv90w5QJ-d199,N,6
h84YuIKR-WzOn,q5FOJAEN-Xl7R,jXtkglSM-keYt,h84YuIKR-WzOn,36,25000,Aluguel,2,q5FOJAEN-Xl7R,"Pessoal ",B,6200,9.91,1,0.25,jXtkglSM-keYt,N,14
mBfSbp46-yZFd,6r940j6C-xKkU,6hzt9yiG-yOAk,mBfSbp46-yZFd,26,48000,Aluguel,2,6r940j6C-xKkU,"Educativo ",B,25000,9.64,1,0.52,6hzt9yiG-yOAk,N,4
vX0220AL-N1Xc,2OuPu8qh-deSt,KSWNLJ5O-9B30,vX0220AL-N1Xc,28,48000,Aluguel,5,2OuPu8qh-deSt,Pagamento_debitos,B,15000,11.99,1,0.31,KSWNLJ5O-9B30,N,10
8QH2ejgc-wwOT,GLTEE8Nz-E2uh,h9uuzwBv-EPC2,8QH2ejgc-wwOT,23,48000,Hipoteca,8,GLTEE8Nz-E2uh,"Medico ",D,1400,14.83,1,0.03,h9uuzwBv-EPC2,S,2
42LtRtXE-rL0e,tpdTSCpY-Kz7M,ISauZKeR-H4iW,42LtRtXE-rL0e,25,56950,Aluguel,9,tpdTSCpY-Kz7M,"Medico ",C,5000,13.92,1,0.07,ISauZKeR-H4iW,N,4
LmwskARR-HyA3,0YpSbTgj-CZKT,j3jnnG3T-iF3N,LmwskARR-HyA3,21,41900,Aluguel,2,0YpSbTgj-CZKT,"Empreendimento ",C,16000,12.84,1,0.38,j3jnnG3T-iF3N,S,2
